"Experiment","Board","wordpair","clue","count","total","proportion"
"E2","TrialList8","army-drum","march",13,43,0.302325581395349
"E2","TrialList8","army-drum","military",7,43,0.162790697674419
"E2","TrialList8","army-drum","band",5,43,0.116279069767442
"E2","TrialList8","army-drum","war",4,43,0.0930232558139535
"E2","TrialList8","army-drum","battle cry",2,43,0.0465116279069767
"E2","TrialList8","army-drum","soldier",2,43,0.0465116279069767
"E2","TrialList8","army-drum","battle",1,43,0.0232558139534884
"E2","TrialList8","army-drum","beat",1,43,0.0232558139534884
"E2","TrialList8","army-drum","bugle",1,43,0.0232558139534884
"E2","TrialList8","army-drum","fighter",1,43,0.0232558139534884
"E2","TrialList8","army-drum","marching band",1,43,0.0232558139534884
"E2","TrialList8","army-drum","militant",1,43,0.0232558139534884
"E2","TrialList8","army-drum","patriotism",1,43,0.0232558139534884
"E2","TrialList8","army-drum","revolution",1,43,0.0232558139534884
"E2","TrialList8","army-drum","strike",1,43,0.0232558139534884
"E2","TrialList8","army-drum","wartime",1,43,0.0232558139534884
"E1","TrialList8","bad-actress","movie",6,30,0.2
"E1","TrialList8","bad-actress","boo",3,30,0.1
"E1","TrialList8","bad-actress","critic",2,30,0.0666666666666667
"E1","TrialList8","bad-actress","rotten tomatoes",2,30,0.0666666666666667
"E1","TrialList8","bad-actress","attitude",1,30,0.0333333333333333
"E1","TrialList8","bad-actress","cringeworthy",1,30,0.0333333333333333
"E1","TrialList8","bad-actress","drama",1,30,0.0333333333333333
"E1","TrialList8","bad-actress","failure",1,30,0.0333333333333333
"E1","TrialList8","bad-actress","fake",1,30,0.0333333333333333
"E1","TrialList8","bad-actress","film",1,30,0.0333333333333333
"E1","TrialList8","bad-actress","imitator",1,30,0.0333333333333333
"E1","TrialList8","bad-actress","monologue",1,30,0.0333333333333333
"E1","TrialList8","bad-actress","music",1,30,0.0333333333333333
"E1","TrialList8","bad-actress","nepotism",1,30,0.0333333333333333
"E1","TrialList8","bad-actress","riverdale",1,30,0.0333333333333333
"E1","TrialList8","bad-actress","rot",1,30,0.0333333333333333
"E1","TrialList8","bad-actress","soap opera",1,30,0.0333333333333333
"E1","TrialList8","bad-actress","television",1,30,0.0333333333333333
"E1","TrialList8","bad-actress","terrible",1,30,0.0333333333333333
"E1","TrialList8","bad-actress","vanessa hudgens",1,30,0.0333333333333333
"E1","TrialList8","bad-actress","villain",1,30,0.0333333333333333
"E1","TrialList9","bat-bounce","baseball",14,31,0.451612903225806
"E1","TrialList9","bat-bounce","ball",10,31,0.32258064516129
"E1","TrialList9","bat-bounce","fly",2,31,0.0645161290322581
"E1","TrialList9","bat-bounce","echolocation",1,31,0.032258064516129
"E1","TrialList9","bat-bounce","groundball",1,31,0.032258064516129
"E1","TrialList9","bat-bounce","hero",1,31,0.032258064516129
"E1","TrialList9","bat-bounce","move",1,31,0.032258064516129
"E1","TrialList9","bat-bounce","sport",1,31,0.032258064516129
"E1","TrialList2","beginning-brake","start",9,31,0.290322580645161
