"","wordpair","clue","accessibility","distinctiveness","LgSUBTLWF"
"1","heavy-feather","weight","high","high",3.267
"2","flat-alike","feet","high","low",3.789
"3","perjury-adultery","sin","low","high",2.911
"4","heavy-feather","oxymoron","low","high",1
"5","flat-alike","same","high","high",4.328
"6","perjury-adultery","wrong","high","low",4.426
"7","flat-alike","pancake","low","low",2.308
"8","perjury-adultery","trump","low","low",1
"9","heavy-feather","might","high","low",4.42
"10","flat-alike","plain","low","high",3.047
"11","perjury-adultery","cheat","high","high",2.955
"12","heavy-feather","opposite","low","low",2.89
"13","rude-regret","mean","high","low",4.802
"14","teeth-gums","gingivitis","low","low",1
"15","holy-kind","saint","low","high",2.961
"16","teeth-gums","brush","high","low",2.859
"17","rude-regret","hindsight","low","low",1.672
"18","holy-kind","good","high","high",5.124
"19","teeth-gums","floss","low","high",2.004
"20","rude-regret","shame","low","high",3.326
"21","holy-kind","lesson","low","low",3.216
"22","teeth-gums","mouth","high","high",3.726
"23","holy-kind","nice","high","low",4.52
"24","rude-regret","bad","high","high",4.444
"25","tourist-comedy","show","high","low",4.396
"26","tea-bean","coffee","high","high",3.868
"27","tea-bean","starbucks","low","low",1
"28","pendulum-dusk","repetitious","low","high",0.903
"29","pendulum-dusk","hypnotize","low","low",1.505
"30","tea-bean","food","low","high",3.896
"31","pendulum-dusk","right","high","low",5.311
"32","pendulum-dusk","time","high","high",5
"33","tourist-comedy","las vegas","low","low",1
"34","tourist-comedy","theatre","low","high",2.766
"35","tea-bean","time","high","low",5
"36","tourist-comedy","fun","high","high",4.08
"37","beginning-brake","end","low","high",4.132
"38","school-stop","end","high","high",4.132
"39","beginning-brake","start","high","high",4.239
"40","birds-aircraft","turbine","low","low",1.672
"41","school-stop","sign","low","high",3.832
"42","school-stop","break","high","low",4.052
"43","school-stop","crosswalk","low","low",1.342
"44","beginning-brake","time","high","low",5
"45","birds-aircraft","sky","low","high",3.359
"46","birds-aircraft","flight","high","high",3.484
"47","beginning-brake","cautious","low","low",2.236
"48","birds-aircraft","fly","high","low",3.637
"49","definition-assist","help","high","high",4.672
"50","definition-assist","synonym","low","low",1
"51","pants-collar","shirt","high","high",3.374
"52","pants-collar","apparel","low","high",1.556
"53","war-quiet","death","high","low",4.043
"54","definition-assist","explain","high","low",3.754
"55","definition-assist","rondo","low","high",0.954
"56","war-quiet","peace","high","high",3.55
"57","pants-collar","suit","high","low",3.544
"58","war-quiet","silence","low","high",3.112
"59","war-quiet","negotiate","low","low",2.535
"60","pants-collar","cloth","low","low",2.494
"61","breeze-bubble","blow","low","high",3.697
"62","bad-actress","music","high","low",3.889
"63","communicate-cooking","talk","high","high",4.639
"64","breeze-bubble","outside","high","low",3.938
"65","communicate-cooking","ramsey","low","high",1
"66","bad-actress","rot","low","low",2.597
"67","communicate-cooking","tell","high","low",4.944
"68","communicate-cooking","competition","low","low",3.028
"69","breeze-bubble","effect","low","low",3.086
"70","breeze-bubble","air","high","high",3.851
"71","bad-actress","movie","high","high",3.797
"72","bad-actress","drama","low","high",3.012
"73","stern-wind","air","high","low",3.851
"74","stern-wind","weather","low","high",3.242
"75","sun-bowl","heat","low","high",3.311
"76","sun-bowl","set","high","low",4.072
"77","sun-bowl","breakfast","high","high",3.529
"78","gold-silver","jewelry","high","high",2.752
"79","stern-wind","horn","low","low",3.032
"80","stern-wind","galeforce","high","high",1
"81","sun-bowl","contain","low","low",2.493
"82","gold-silver","money","high","low",4.514
"83","gold-silver","bronze","low","high",2.158
"84","gold-silver","commodity","low","low",1.929
"85","snake-ash","slither","low","low",1.079
"86","lion-tiger","mammal","low","low",1.799
"87","snake-ash","you","high","low",6.329
