"wordpair","clue","guess","count"
"army-drum","bugle","acre-subtle",1
"army-drum","bugle","army-acre",1
"army-drum","bugle","army-drum",1
"army-drum","bugle","army-horn",3
"army-drum","bugle","drum-horn",2
"army-drum","bugle","giant-drum",1
"army-drum","bugle","happy-floor",1
"army-drum","bugle","horn-army",6
"army-drum","bugle","horn-cake",1
"army-drum","bugle","horn-drum",7
"army-drum","bugle","horn-subtle",1
"army-drum","bugle","land-giant",1
"army-drum","bugle","pen-pen",1
"army-drum","bugle","rural-drum",1
"army-drum","bugle","subtle-rural",1
"army-drum","bugle","subtle-subtle",1
"army-drum","march","acre-cake",1
"army-drum","march","army-acre",1
"army-drum","march","army-drum",8
"army-drum","march","army-floor",1
"army-drum","march","army-giant",1
"army-drum","march","army-horn",2
"army-drum","march","army-land",1
"army-drum","march","army-ride",1
"army-drum","march","army-tall",2
"army-drum","march","drum-army",6
"army-drum","march","drum-horn",1
"army-drum","march","giant-cake",1
"army-drum","march","happy-sugar",1
"army-drum","march","horn-drum",1
"army-drum","march","horn-tall",1
"army-drum","march","style-army",1
"army-drum","revolution","army-cake",1
"army-drum","revolution","army-drum",4
"army-drum","revolution","army-giant",3
"army-drum","revolution","army-happy",1
"army-drum","revolution","army-land",8
"army-drum","revolution","army-pen",2
"army-drum","revolution","army-ride",3
"army-drum","revolution","army-rural",1
"army-drum","revolution","army-sad",1
"army-drum","revolution","drum-floor",1
"army-drum","revolution","floor-fine",1
"army-drum","revolution","giant-army",1
"army-drum","revolution","horn-drum",1
"army-drum","revolution","land-army",1
"army-drum","revolution","subtle-sad",1
"army-drum","war","army-drum",5
"army-drum","war","army-giant",3
"army-drum","war","army-horn",3
"army-drum","war","army-land",10
"army-drum","war","army-rural",1
"army-drum","war","army-sad",3
"army-drum","war","army-tall",1
"army-drum","war","drum-army",1
"army-drum","war","horn-army",1
"army-drum","war","rural-army",1
"army-drum","war","rural-tile",1
"bad-actress","drama","actress-bad",5
"bad-actress","drama","actress-bow",1
"bad-actress","drama","actress-care",1
"bad-actress","drama","actress-communicate",3
"bad-actress","drama","actress-most",1
"bad-actress","drama","actress-party",5
"bad-actress","drama","actress-trash",3
"bad-actress","drama","bad-communicate",1
"bad-actress","drama","bad-most",1
"bad-actress","drama","breeze-party",1
"bad-actress","drama","bubble-party",1
"bad-actress","drama","communicate-clarify",1
"bad-actress","drama","party-actress",2
"bad-actress","drama","party-bad",1
"bad-actress","drama","party-communicate",1
"bad-actress","drama","trash-actress",1
"bad-actress","drama","trash-communicate",1
"bad-actress","movie","actress-actress",1
"bad-actress","movie","actress-bad",4
"bad-actress","movie","actress-bow",3
"bad-actress","movie","actress-communicate",3
"bad-actress","movie","actress-dominant",1
"bad-actress","movie","actress-most",1
"bad-actress","movie","actress-party",8
"bad-actress","movie","actress-plan",2
"bad-actress","movie","actress-trash",2
"bad-actress","movie","actress-vegetable",1
"bad-actress","movie","communicate-party",1
"bad-actress","movie","dominant-communicate",1
"bad-actress","movie","trash-actress",2
"bad-actress","music","actress-party",1
"bad-actress","music","base-dominant",1
"bad-actress","music","bow-party",1
"bad-actress","music","bow-sauce",1
"bad-actress","music","bubble-care",1
"bad-actress","music","care-base",1
"bad-actress","music","communicate-actress",1
"bad-actress","music","communicate-base",1
"bad-actress","music","communicate-clarify",1
"bad-actress","music","communicate-party",1
"bad-actress","music","dominant-trash",1
"bad-actress","music","party-actress",1
"bad-actress","music","party-base",1
"bad-actress","music","party-bow",1
"bad-actress","music","party-care",1
"bad-actress","music","party-clarify",1
"bad-actress","music","party-communicate",5
"bad-actress","music","party-cooking",3
"bad-actress","music","party-party",2
"bad-actress","music","party-trash",2
"bad-actress","music","trash-bad",2
"bad-actress","rot","actress-deer",1
"bad-actress","rot","bad-deer",2
"bad-actress","rot","bad-plan",2
"bad-actress","rot","bad-trash",4
"bad-actress","rot","deer-bad",1
"bad-actress","rot","deer-pepper",1
"bad-actress","rot","deodorant-dominant",1
"bad-actress","rot","pepper-vegetable",1
"bad-actress","rot","trash-bad",4
"bad-actress","rot","trash-deer",1
"bad-actress","rot","trash-vegetable",6
"bad-actress","rot","vegetable-bad",3
"bad-actress","rot","vegetable-cooking",1
"bad-actress","rot","vegetable-pepper",2
"bat-bounce","ball","bat-bell",2
"bat-bounce","ball","bat-bounce",9
"bat-bounce","ball","bat-knob",1
"bat-bounce","ball","bat-rhythm",2
"bat-bounce","ball","bat-toes",1
"bat-bounce","ball","bounce-bat",4
"bat-bounce","ball","bounce-bell",1
"bat-bounce","ball","bounce-cello",1
"bat-bounce","ball","bounce-knob",1
"bat-bounce","ball","bounce-lunch",1
"bat-bounce","ball","bounce-neutron",2
"bat-bounce","ball","bounce-rhythm",2
"bat-bounce","ball","gold-bell",1
"bat-bounce","ball","gold-window",1
"bat-bounce","ball","priest-bacteria",1
"bat-bounce","hero","agenda-gold",1
"bat-bounce","hero","bat-bacteria",1
"bat-bounce","hero","bat-dracula",1
"bat-bounce","hero","bounce-window",1
"bat-bounce","hero","dracula-dracula",1
"bat-bounce","hero","dracula-gold",1
"bat-bounce","hero","dracula-painter",1
"bat-bounce","hero","dracula-priest",2
"bat-bounce","hero","dracula-rhythm",1
"bat-bounce","hero","drink-priest",1
"bat-bounce","hero","gold-bat",1
"bat-bounce","hero","gold-bell",2
"bat-bounce","hero","gold-priest",3
"bat-bounce","hero","neutron-soap",1
"bat-bounce","hero","painter-priest",1
"bat-bounce","hero","priest-agenda",1
"bat-bounce","hero","priest-bell",1
"bat-bounce","hero","priest-gold",4
"bat-bounce","hero","priest-neutron",1
"bat-bounce","hero","priest-painter",2
"bat-bounce","hero","soap-dracula",1
"bat-bounce","hero","window-gold",1
"bat-bounce","move","bat-painter",1
"bat-bounce","move","bat-rhythm",1
"bat-bounce","move","bounce-cello",1
"bat-bounce","move","bounce-painter",1
"bat-bounce","move","bounce-rhythm",7
"bat-bounce","move","bounce-toes",4
"bat-bounce","move","debate-bounce",1
"bat-bounce","move","debate-rhythm",1
"bat-bounce","move","drink-rhythm",1
"bat-bounce","move","knob-bounce",1
"bat-bounce","move","rhythm-bounce",2
"bat-bounce","move","rhythm-cello",1
"bat-bounce","move","rhythm-neutron",1
"bat-bounce","move","rhythm-painter",1
"bat-bounce","move","rhythm-toes",1
"bat-bounce","move","toes-bat",2
"bat-bounce","move","toes-bounce",2
"bat-bounce","move","toes-rhythm",1
"bat-bounce","sport","bat-bounce",6
"bat-bounce","sport","bat-debate",2
"bat-bounce","sport","bat-drink",2
"bat-bounce","sport","bat-gold",1
"bat-bounce","sport","bat-rhythm",1
"bat-bounce","sport","bell-bat",2
"bat-bounce","sport","bell-bounce",1
"bat-bounce","sport","bounce-bat",1
"bat-bounce","sport","bounce-bell",1
"bat-bounce","sport","bounce-cello",1
"bat-bounce","sport","bounce-rhythm",1
"bat-bounce","sport","bounce-soap",1
"bat-bounce","sport","bounce-toes",2
"bat-bounce","sport","debate-bounce",1
"bat-bounce","sport","drink-agenda",1
"bat-bounce","sport","gold-agenda",1
"bat-bounce","sport","gold-bounce",1
"bat-bounce","sport","gold-toes",1
"bat-bounce","sport","rhythm-bat",2
"bat-bounce","sport","rhythm-bounce",1
"beginning-brake","cautious","aircraft-slick",1
"beginning-brake","cautious","bandit-killer",1
"beginning-brake","cautious","brake-faith",1
"beginning-brake","cautious","brake-stop",2
"beginning-brake","cautious","faith-brake",1
"beginning-brake","cautious","grace-brake",2
"beginning-brake","cautious","killer-bandit",1
"beginning-brake","cautious","killer-killer",1
"beginning-brake","cautious","killer-school",1
"beginning-brake","cautious","knife-school",1
"beginning-brake","cautious","perform-school",1
"beginning-brake","cautious","riot-killer",1
"beginning-brake","cautious","riot-stop",1
"beginning-brake","cautious","slick-brake",1
"beginning-brake","cautious","slick-killer",1
"beginning-brake","cautious","slick-trigger",1
"beginning-brake","cautious","stop-beginning",1
"beginning-brake","cautious","stop-brake",5
"beginning-brake","cautious","stop-killer",1
"beginning-brake","cautious","stop-riot",1
"beginning-brake","cautious","stop-trigger",3
"beginning-brake","cautious","trigger-stop",1
"beginning-brake","end","beginning-brake",1
"beginning-brake","end","beginning-school",2
"beginning-brake","end","beginning-stop",7
"beginning-brake","end","brake-stop",1
"beginning-brake","end","killer-beginning",2
"beginning-brake","end","killer-grace",1
"beginning-brake","end","killer-stop",2
"beginning-brake","end","riot-knife",1
"beginning-brake","end","stop-beginning",3
"beginning-brake","end","stop-brake",7
"beginning-brake","end","stop-faith",1
"beginning-brake","end","stop-killer",1
"beginning-brake","end","stop-laundry",1
"beginning-brake","start","beginning-beginning",1
"beginning-brake","start","beginning-faith",1
"beginning-brake","start","beginning-gas",1
"beginning-brake","start","beginning-perform",3
"beginning-brake","start","beginning-slick",1
"beginning-brake","start","beginning-stop",4
"beginning-brake","start","brake-stop",1
"beginning-brake","start","riot-alto",1
"beginning-brake","start","school-riot",1
"beginning-brake","start","stop-aircraft",1
"beginning-brake","start","stop-beginning",6
"beginning-brake","start","stop-brake",2
"beginning-brake","start","stop-gas",1
"beginning-brake","start","stop-grace",1
"beginning-brake","start","stop-school",2
"beginning-brake","start","stop-stop",1
"beginning-brake","start","stop-trigger",2
"beginning-brake","time","bandit-beginning",1
"beginning-brake","time","beginning-alto",1
"beginning-brake","time","beginning-perform",1
"beginning-brake","time","beginning-school",6
"beginning-brake","time","beginning-stop",7
"beginning-brake","time","beginning-trigger",1
