"sona_id","wordpair","clue","accessibility","distinctiveness","response"
59526,"heavy-feather","weight","high","high",4
59526,"heavy-feather","oxymoron","low","high",2
59526,"heavy-feather","opposite","low","low",2
59526,"flat-alike","pancake","low","low",2
59526,"perjury-adultery","trump","low","low",4
59526,"flat-alike","same","high","high",2
59526,"flat-alike","feet","high","low",1
59526,"flat-alike","plain","low","high",1
59526,"perjury-adultery","sin","low","high",5
59526,"heavy-feather","might","high","low",1
59526,"perjury-adultery","cheat","high","high",5
59526,"perjury-adultery","wrong","high","low",5
59526,"communicate-cooking","tell","high","low",1
59526,"breeze-bubble","blow","low","high",4
59526,"breeze-bubble","air","high","high",4
59526,"bad-actress","movie","high","high",3
59526,"bad-actress","drama","low","high",3
59526,"communicate-cooking","talk","high","high",2
59526,"breeze-bubble","outside","high","low",2
59526,"bad-actress","music","high","low",2
59526,"communicate-cooking","ramsey","low","high",4
59526,"communicate-cooking","competition","low","low",2
59526,"bad-actress","rot","low","low",1
59526,"breeze-bubble","effect","low","low",1
59526,"glass-cage","break","high","low",2
59526,"old-new","generation","low","high",4
59526,"east-short","turn","high","low",2
59526,"old-new","opposite","low","low",5
59526,"old-new","time","high","low",3
59526,"old-new","age","high","high",4
59526,"glass-cage","contain","low","high",2
59526,"east-short","directionless","low","high",1
59526,"glass-cage","bar","high","high",3
59526,"east-short","small","high","high",1
59526,"east-short","navigate","low","low",3
59526,"glass-cage","exhibit","low","low",2
59526,"war-quiet","peace","high","high",2
59526,"war-quiet","negotiate","low","low",2
59526,"pants-collar","cloth","low","low",5
59526,"definition-assist","rondo","low","high",1
59526,"definition-assist","explain","high","low",5
59526,"war-quiet","death","high","low",2
59526,"pants-collar","apparel","low","high",5
59526,"pants-collar","suit","high","low",5
59526,"pants-collar","shirt","high","high",5
59526,"war-quiet","silence","low","high",3
59526,"definition-assist","help","high","high",4
59526,"definition-assist","synonym","low","low",2
59526,"sun-bowl","breakfast","high","high",2
59526,"stern-wind","galeforce","high","high",2
59526,"stern-wind","air","high","low",2
59526,"sun-bowl","heat","low","high",2
59526,"gold-silver","jewelry","high","high",5
59526,"stern-wind","galeforce","low","high",2
59526,"sun-bowl","contain","low","low",2
59526,"gold-silver","bronze","low","high",5
59526,"sun-bowl","set","high","low",2
59526,"gold-silver","money","high","low",5
59526,"stern-wind","horn","low","low",1
59526,"gold-silver","commodity","low","low",4
59526,"corpse-fight","gladiator","low","low",3
59526,"kitchen-egg","food","high","low",2
59526,"graph-copy","photo","low","high",4
59526,"kitchen-egg","omelet","low","high",4
59526,"corpse-fight","death","high","high",4
59526,"graph-copy","paper","high","high",4
59526,"graph-copy","cheat","low","low",1
59526,"corpse-fight","war","low","high",5
59526,"kitchen-egg","cook","high","high",3
59526,"graph-copy","work","high","low",4
59526,"kitchen-egg","domestic","low","low",1
59526,"corpse-fight","kill","high","low",4
59526,"onion-cigarette","mouth","high","low",4
59526,"homeless-apartment","food","low","low",1
