,Word1,Word2,Experiment,boardnames,top 3 similar words
0,void,couch,E1,e1_board1_words,"['fill', 'sit', 'sofa']"
1,giggle,abnormal,E1,e1_board1_words,"['laughter', 'hysterical', 'symptom']"
2,exam,algebra,E1,e1_board1_words,"['mathematics', 'exams', 'examination']"
3,tea,bean,E1,e1_board10_words,"['coffee', 'rice', 'vegetable']"
4,tourist,comedy,E1,e1_board10_words,"['popular', 'movie', 'attraction']"
5,pendulum,dusk,E1,e1_board10_words,"['dawn', 'sunset', 'sunrise']"
6,beginning,brake,E1,e1_board2_words,"['end', 'start', 'early']"
7,birds,aircraft,E1,e1_board2_words,"['fly', 'airplane', 'flight']"
8,school,stop,E1,e1_board2_words,"['go', 'continue', 'start']"
9,circle,dance,E1,e1_board3_words,"['dancing', 'dancer', 'music']"
10,famine,calorie,E1,e1_board3_words,"['starvation', 'food', 'hunger']"
11,hundred,economy,E1,e1_board3_words,"['thousand', 'dozen', 'economic']"
12,corpse,fight,E1,e1_board4_words,"['dead', 'kill', 'alive']"
13,graph,copy,E1,e1_board4_words,"['print', 'instance', 'number']"
14,kitchen,egg,E1,e1_board4_words,"['cook', 'eat', 'food']"
15,near,astronaut,E1,e1_board5_words,"['nearby', 'vicinity', 'locate']"
16,homeless,apartment,E1,e1_board5_words,"['housing', 'house', 'elderly']"
17,onion,cigarette,E1,e1_board5_words,"['tobacco', 'garlic', 'potato']"
18,pants,collar,E1,e1_board6_words,"['trousers', 'shirt', 'jacket']"
19,definition,assist,E1,e1_board6_words,"['define', 'aid', 'need']"
20,war,quiet,E1,e1_board6_words,"['conflict', 'calm', 'even']"
21,flat,alike,E1,e1_board7_words,"['generally', 'quite', 'even']"
22,perjury,adultery,E1,e1_board7_words,"['felony', 'treason', 'guilty']"
23,heavy,feather,E1,e1_board7_words,"['tail', 'thick', 'hair']"
24,breeze,bubble,E1,e1_board8_words,"['cool', 'bubble wrap', 'blow']"
25,bad,actress,E1,e1_board8_words,"['actor', 'bad guy', 'good']"
26,communicate,cooking,E1,e1_board8_words,"['learn', 'cook', 'communication']"
27,bat,bounce,E1,e1_board9_words,"['ball', 'hit', 'toss']"
28,toes,Dracula,E1,e1_board9_words,"['knees and toes', 'Frankenstein', 'knees']"
29,lunch,almond,E1,e1_board9_words,"['meal', 'breakfast', 'peanut']"
30,cave,knight,E2,e2_board1_words,"['castle', 'cavern', 'tomb']"
31,quick,glow,E2,e2_board1_words,"['bright', 'light', 'slow']"
32,tree,oak,E2,e2_board1_words,"['pine', 'palm tree', 'grove']"
33,garage,bone,E2,e2_board10_words,"['basement', 'skull', 'hip']"
34,feet,chapel,E2,e2_board10_words,"['church', 'cemetery', 'hall']"
35,chair,table,E2,e2_board10_words,"['sit', 'rocking chair', 'committee']"
36,stern,wind,E2,e2_board2_words,"['bow', 'blow', 'storm']"
37,sun,bowl,E2,e2_board2_words,"['ball', 'sky', 'Super Bowl']"
38,gold,silver,E2,e2_board2_words,"['bronze', 'medal', 'copper']"
39,holy,kind,E2,e2_board3_words,"['thing', 'sort', 'always']"
40,teeth,gums,E2,e2_board3_words,"['candles', 'tied', 'knees']"
41,rude,regret,E2,e2_board3_words,"['apologize', 'remark', 'angry']"
42,dream,bet,E2,e2_board4_words,"['chance', 'want', 'nothing']"
43,jump,leap,E2,e2_board4_words,"['jumping', 'throw', 'grab']"
44,travel,ankle,E2,e2_board4_words,"['knee', 'trip', 'leg']"
45,snake,ash,E2,e2_board5_words,"['tree', 'sand', 'lizard']"
46,hand,birth,E2,e2_board5_words,"['mother', 'whose', 'upon']"
47,lion,tiger,E2,e2_board5_words,"['leopard', 'elephant', 'wolf']"
48,elm,rock,E2,e2_board6_words,"['tree', 'pop', 'oak']"
49,crust,boot,E2,e2_board6_words,"['shoe', 'belt', 'leather']"
50,sit,stand,E2,e2_board6_words,"['it', 'standing', 'beside']"
51,east,short,E2,e2_board7_words,"['west', 'south', 'north']"
52,old,new,E2,e2_board7_words,"['original', 'still', 'another']"
53,glass,cage,E2,e2_board7_words,"['steel', 'magnifying glass', 'inside']"
54,giant,subtle,E2,e2_board8_words,"['kind', 'resemble', 'creature']"
55,army,drum,E2,e2_board8_words,"['troops', 'corps', 'force']"
56,happy,sad,E2,e2_board8_words,"['really', 'lonely', 'everyone']"
57,weird,trauma,E2,e2_board9_words,"['bizarre', 'horrific', 'strange']"
58,olive,real,E2,e2_board9_words,"['actually', 'real estate', 'TRUE']"
59,candle,wick,E2,e2_board9_words,"['lamp', 'incense', 'kerosene']"
