,Word1,Word2,Experiment,boardnames,top 3 similar words(sum),top 3 similar words(cat)
0,void,couch,E1,e1_board1_words,"['sofa', 'tile', 'furniture']","['sofa', 'tile', 'furniture']"
1,giggle,abnormal,E1,e1_board1_words,"['confuse', 'giggle', 'clown']","['giggle', 'confuse', 'clown']"
2,exam,algebra,E1,e1_board1_words,"['examination', 'exams', 'analysis']","['examination', 'analysis', 'calculus']"
3,tea,bean,E1,e1_board10_words,"['spaghetti', 'stink', 'doll']","['spaghetti', 'doll', 'stink']"
4,tourist,comedy,E1,e1_board10_words,"['sitcom', 'tourists', 'nursing']","['sitcom', 'tourists', 'nursing']"
5,pendulum,dusk,E1,e1_board10_words,"['midnight', 'sunrise', 'handcuffs']","['midnight', 'sunrise', 'handcuffs']"
6,beginning,brake,E1,e1_board2_words,"['steer', 'fireplace', 'harness']","['steer', 'harness', 'fireplace']"
7,birds,aircraft,E1,e1_board2_words,"['animals', 'planes', 'vehicles']","['animals', 'planes', 'vehicles']"
8,school,stop,E1,e1_board2_words,"['garage', 'stopping', 'trouble']","['garage', 'stopping', 'dodge']"
9,circle,dance,E1,e1_board3_words,"['jump', 'rhythm', 'jumping']","['jump', 'jumping', 'rhythm']"
10,famine,calorie,E1,e1_board3_words,"['starvation', 'junk food', 'poverty']","['starvation', 'junk food', 'poverty']"
11,hundred,economy,E1,e1_board3_words,"['prosperity', 'thousand', 'dozen']","['thousand', 'prosperity', 'dozen']"
12,corpse,fight,E1,e1_board4_words,"['dying', 'fighting', 'stump']","['dying', 'fighting', 'warehouse']"
13,graph,copy,E1,e1_board4_words,"['diagram', 'document', 'image']","['diagram', 'document', 'image']"
14,kitchen,egg,E1,e1_board4_words,"['oven', 'garage', 'backyard']","['oven', 'garage', 'pantry']"
15,near,astronaut,E1,e1_board5_words,"['superhero', 'alien', 'scientist']","['superhero', 'scientist', 'alien']"
16,homeless,apartment,E1,e1_board5_words,"['elderly', 'apartments', 'housing']","['elderly', 'apartments', 'housing']"
17,onion,cigarette,E1,e1_board5_words,"['sulfur', 'popcorn', 'umbrella']","['sulfur', 'popcorn', 'umbrella']"
18,pants,collar,E1,e1_board6_words,"['denim', 'scarf', 'pajamas']","['denim', 'scarf', 'pajamas']"
19,definition,assist,E1,e1_board6_words,"['transfer', 'request', 'manage']","['transfer', 'request', 'update']"
20,war,quiet,E1,e1_board6_words,"['peace', 'conversation', 'silent']","['peace', 'conversation', 'battle']"
21,flat,alike,E1,e1_board7_words,"['balanced', 'uneven', 'swelling']","['balanced', 'uneven', 'swelling']"
22,perjury,adultery,E1,e1_board7_words,"['rape', 'faulty', 'insult']","['rape', 'faulty', 'murder']"
