"time","timeup","done","player","stage.stage","stage.step","stage.round","timestamp"
763,"false","true","371307497899425",1,1,1,1608572872505
860,"false","true","53840912218865",1,1,1,1608572873242
3157,"false","true","371307497899425",2,1,1,1608572876750
3105,"false","true","53840912218865",2,1,1,1608572876751
"NA","NA","NA","53840912218865",2,2,1,1608572878808
"NA","NA","NA","53840912218865",2,2,1,1608572878810
2053,"false","true","371307497899425",2,2,1,1608572878810
2053,"false","true","53840912218865",2,2,1,1608572878811
"NA","NA","NA","371307497899425",2,3,1,1608572880236
1849,"false","true","53840912218865",2,3,1,1608572880992
1868,"false","true","371307497899425",2,3,1,1608572880993
"NA","NA","NA","371307497899425",2,4,1,1608572881584
1865,"false","true","53840912218865",2,4,1,1608572882864
1861,"false","true","371307497899425",2,4,1,1608572882864
3455,"false","true","371307497899425",2,1,2,1608572886633
3460,"false","true","53840912218865",2,1,2,1608572886633
1822,"false","true","371307497899425",2,2,2,1608572888462
"NA","NA","NA","53840912218865",2,2,2,1608572888463
"NA","NA","NA","53840912218865",2,2,2,1608572888463
1821,"false","true","53840912218865",2,2,2,1608572888464
"NA","NA","NA","371307497899425",2,3,2,1608572891161
3041,"false","true","53840912218865",2,3,2,1608572891807
3035,"false","true","371307497899425",2,3,2,1608572891808
"NA","NA","NA","371307497899425",2,4,2,1608572892520
1288,"false","true","53840912218865",2,4,2,1608572893103
1285,"false","true","371307497899425",2,4,2,1608572893104
3341,"false","true","371307497899425",2,1,3,1608572896750
3347,"false","true","53840912218865",2,1,3,1608572896751
2297,"false","true","371307497899425",2,2,3,1608572899056
"NA","NA","NA","53840912218865",2,2,3,1608572899056
"NA","NA","NA","53840912218865",2,2,3,1608572899057
2298,"false","true","53840912218865",2,2,3,1608572899057
"NA","NA","NA","371307497899425",2,3,3,1608572901389
2662,"false","true","53840912218865",2,3,3,1608572902035
2634,"false","true","371307497899425",2,3,3,1608572902036
"NA","NA","NA","371307497899425",2,4,3,1608572902458
"NA","NA","NA","371307497899425",2,4,3,1608572903189
2047,"false","true","53840912218865",2,4,3,1608572904089
2045,"false","true","371307497899425",2,4,3,1608572904090
