"time","timeup","done","player","stage.stage","stage.step","stage.round","timestamp","session"
852,0,1,"304739026534647",1,1,1,1608928862429,"room000301"
1327,0,1,"898150706828954",1,1,1,1608928863221,"room000301"
12933,0,1,"898150706828954",2,1,1,1608928876474,"room000301"
12930,0,1,"304739026534647",2,1,1,1608928876475,"room000301"
2276,0,1,"898150706828954",2,2,1,1608928878758,"room000301"
"NA","NA","NA","304739026534647",2,2,1,1608928878759,"room000301"
"NA","NA","NA","304739026534647",2,2,1,1608928878759,"room000301"
2267,0,1,"304739026534647",2,2,1,1608928878760,"room000301"
"NA","NA","NA","898150706828954",2,3,1,1608928880491,"room000301"
1937,0,1,"304739026534647",2,3,1,1608928881061,"room000301"
1948,0,1,"898150706828954",2,3,1,1608928881062,"room000301"
"NA","NA","NA","898150706828954",2,4,1,1608928881525,"room000301"
977,0,1,"304739026534647",2,4,1,1608928882046,"room000301"
977,0,1,"898150706828954",2,4,1,1608928882047,"room000301"
2419,0,1,"898150706828954",2,1,2,1608928884783,"room000301"
2429,0,1,"304739026534647",2,1,2,1608928884784,"room000301"
1387,0,1,"898150706828954",2,2,2,1608928886177,"room000301"
"NA","NA","NA","304739026534647",2,2,2,1608928886178,"room000301"
"NA","NA","NA","304739026534647",2,2,2,1608928886179,"room000301"
1384,0,1,"304739026534647",2,2,2,1608928886179,"room000301"
"NA","NA","NA","898150706828954",2,3,2,1608928887099,"room000301"
1134,0,1,"304739026534647",2,3,2,1608928887617,"room000301"
1166,0,1,"898150706828954",2,3,2,1608928887618,"room000301"
"NA","NA","NA","898150706828954",2,4,2,1608928888038,"room000301"
1090,0,1,"304739026534647",2,4,2,1608928888716,"room000301"
1090,0,1,"898150706828954",2,4,2,1608928888717,"room000301"
2396,0,1,"898150706828954",2,1,3,1608928891421,"room000301"
2393,0,1,"304739026534647",2,1,3,1608928891422,"room000301"
1739,0,1,"898150706828954",2,2,3,1608928893165,"room000301"
"NA","NA","NA","304739026534647",2,2,3,1608928893166,"room000301"
"NA","NA","NA","304739026534647",2,2,3,1608928893166,"room000301"
1736,0,1,"304739026534647",2,2,3,1608928893166,"room000301"
"NA","NA","NA","898150706828954",2,3,3,1608928894424,"room000301"
1650,0,1,"304739026534647",2,3,3,1608928895112,"room000301"
1678,0,1,"898150706828954",2,3,3,1608928895113,"room000301"
"NA","NA","NA","898150706828954",2,4,3,1608928895594,"room000301"
1372,0,1,"304739026534647",2,4,3,1608928896497,"room000301"
1373,0,1,"898150706828954",2,4,3,1608928896498,"room000301"
