wordpair,Level,candidate_type,type,n_steps,n_model_candidates,n_human_candidates,n_intersection,intersection
travel-ankle,hard,clueOption1,intersection,2,2,29,1,['walk']
travel-ankle,hard,clueOption1,intersection,4,271,29,8,"['foot', 'vacation', 'run', 'walking', 'plane', 'moving', 'shoes', 'walk']"
travel-ankle,hard,clueOption1,intersection,8,1146,29,11,"['foot', 'vacation', 'run', 'walking', 'plane', 'moving', 'feet', 'hiking', 'movement', 'shoes', 'walk']"
travel-ankle,hard,clueOption1,intersection,16,2590,29,16,"['foot', 'vacation', 'run', 'walking', 'boot', 'basketball', 'hike', 'plane', 'moving', 'feet', 'injury', 'boots', 'hiking', 'movement', 'shoes', 'walk']"
travel-ankle,hard,clueOption1,intersection,32,4356,29,19,"['foot', 'run', 'walking', 'hike', 'moving', 'arrest', 'feet', 'suitcase', 'walk', 'vacation', 'basketball', 'plane', 'boots', 'broke', 'boot', 'hiking', 'movement', 'shoes', 'injury']"
travel-ankle,hard,clueOption1,intersection,64,6314,29,21,"['foot', 'run', 'walking', 'hike', 'moving', 'arrest', 'feet', 'suitcase', 'bracelet', 'walk', 'vacation', 'basketball', 'plane', 'boots', 'wheelchair', 'broke', 'boot', 'hiking', 'movement', 'shoes', 'injury']"
travel-ankle,hard,clueOption1,intersection,128,8382,29,21,"['foot', 'run', 'walking', 'hike', 'moving', 'arrest', 'feet', 'suitcase', 'bracelet', 'walk', 'vacation', 'basketball', 'plane', 'boots', 'wheelchair', 'broke', 'boot', 'hiking', 'movement', 'shoes', 'injury']"
travel-ankle,hard,clueOption1,intersection,256,10058,29,21,"['foot', 'run', 'walking', 'hike', 'moving', 'arrest', 'feet', 'suitcase', 'bracelet', 'walk', 'vacation', 'basketball', 'plane', 'boots', 'wheelchair', 'broke', 'boot', 'hiking', 'movement', 'shoes', 'injury']"
travel-ankle,hard,clueOption1,intersection,512,11141,29,21,"['foot', 'run', 'walking', 'hike', 'moving', 'arrest', 'feet', 'suitcase', 'bracelet', 'walk', 'vacation', 'basketball', 'plane', 'boots', 'wheelchair', 'broke', 'boot', 'hiking', 'movement', 'shoes', 'injury']"
travel-ankle,hard,clueOption1,intersection,1024,11744,29,23,"['foot', 'run', 'walking', 'hike', 'moving', 'arrest', 'feet', 'suitcase', 'bracelet', 'walk', 'vacation', 'basketball', 'plane', 'sprain', 'boots', 'wheelchair', 'broke', 'boot', 'hiking', 'movement', 'shoes', 'probation', 'injury']"
travel-ankle,hard,clueOption1,intersection,2048,12009,29,23,"['foot', 'run', 'walking', 'hike', 'moving', 'arrest', 'feet', 'suitcase', 'bracelet', 'walk', 'vacation', 'basketball', 'plane', 'sprain', 'boots', 'wheelchair', 'broke', 'boot', 'hiking', 'movement', 'shoes', 'probation', 'injury']"
travel-ankle,hard,clueOption1,intersection,4096,12122,29,23,"['foot', 'run', 'walking', 'hike', 'moving', 'arrest', 'feet', 'suitcase', 'bracelet', 'walk', 'vacation', 'basketball', 'plane', 'sprain', 'boots', 'wheelchair', 'broke', 'boot', 'hiking', 'movement', 'shoes', 'probation', 'injury']"
travel-ankle,hard,clueOption1,union,2,185,29,14,"['foot', 'vacation', 'run', 'walking', 'basketball', 'moving', 'plane', 'feet', 'sprain', 'suitcase', 'boots', 'bracelet', 'shoes', 'walk']"
travel-ankle,hard,clueOption1,union,4,1779,29,19,"['foot', 'run', 'walking', 'moving', 'feet', 'suitcase', 'bracelet', 'walk', 'vacation', 'basketball', 'plane', 'sprain', 'boots', 'wheelchair', 'boot', 'hiking', 'movement', 'shoes', 'injury']"
