,Experiment,Board,Word1,Word2,Clue1,clueCount,wordpair,boardwords,boardnames,representation,prag_speaker_probs,prag_speaker_rank
0,E1,TrialList1,exam,algebra,calculus,1,exam-algebra,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.010692833735888767,14
1,E1,TrialList1,exam,algebra,equation,1,exam-algebra,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.01672828823052059,8
2,E1,TrialList1,exam,algebra,knowledge,1,exam-algebra,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.00017439715802141842,446
3,E1,TrialList1,exam,algebra,math,22,exam-algebra,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.029044702074405165,3
4,E1,TrialList1,exam,algebra,school,2,exam-algebra,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.008212735068076077,21
5,E1,TrialList1,exam,algebra,study,1,exam-algebra,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.00913791147800742,18
6,E1,TrialList1,exam,algebra,test,3,exam-algebra,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.03541979892339513,0
7,E1,TrialList1,giggle,abnormal,awkward,1,giggle-abnormal,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.0017200058446380855,56
9,E1,TrialList1,giggle,abnormal,comedy,2,giggle-abnormal,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.007253930864111451,25
10,E1,TrialList1,giggle,abnormal,embarrass,1,giggle-abnormal,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.00015210610381066397,544
11,E1,TrialList1,giggle,abnormal,emotion,1,giggle-abnormal,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,7.124659477265714e-05,1480
13,E1,TrialList1,giggle,abnormal,funny,3,giggle-abnormal,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.06445268010716206,0
14,E1,TrialList1,giggle,abnormal,giddy,1,giggle-abnormal,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.00042366185876734785,154
15,E1,TrialList1,giggle,abnormal,goofy,1,giggle-abnormal,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.013864404198145401,8
16,E1,TrialList1,giggle,abnormal,happy,1,giggle-abnormal,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.0012681967116172465,64
17,E1,TrialList1,giggle,abnormal,hilarious,1,giggle-abnormal,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.00933453576225636,16
18,E1,TrialList1,giggle,abnormal,hysterical,2,giggle-abnormal,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.0038405500508563156,36
19,E1,TrialList1,giggle,abnormal,insane,1,giggle-abnormal,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.00012756376567662274,682
20,E1,TrialList1,giggle,abnormal,laugh,3,giggle-abnormal,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.016994096511645407,5
22,E1,TrialList1,giggle,abnormal,quirky,1,giggle-abnormal,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.005284309776140988,30
23,E1,TrialList1,giggle,abnormal,silly,1,giggle-abnormal,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.00838611198889623,20
24,E1,TrialList1,giggle,abnormal,snort,4,giggle-abnormal,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.0001338601633403683,639
26,E1,TrialList1,giggle,abnormal,weird,3,giggle-abnormal,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.028657721001034954,1
27,E1,TrialList1,void,couch,alone,2,void-couch,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.0005387937900093696,139
28,E1,TrialList1,void,couch,comfort,1,void-couch,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.001328726726997915,49
29,E1,TrialList1,void,couch,comfortable,1,void-couch,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.0050344268576777975,16
