,boardnames,wordpair,Clue1,clue_score,clue_rank,alpha,Model
0,e1_board1_words,exam-algebra,calculus,0.00010538945142443097,895,0.0,swow
0,e1_board1_words,exam-algebra,equation,0.00011178830629517765,222,0.0,swow
0,e1_board1_words,exam-algebra,knowledge,5.607247241615741e-05,11110,0.0,swow
0,e1_board1_words,exam-algebra,math,0.00010141836293597902,1567,0.0,swow
0,e1_board1_words,exam-algebra,school,4.515198541709159e-05,11931,0.0,swow
0,e1_board1_words,exam-algebra,study,4.2812051887517614e-05,12007,0.0,swow
0,e1_board1_words,exam-algebra,test,5.599598074291976e-05,11117,0.0,swow
0,e1_board1_words,giggle-abnormal,awkward,8.656823204940297e-05,5568,0.0,swow
0,e1_board1_words,giggle-abnormal,cackle,NA,NA,0.0,swow
0,e1_board1_words,giggle-abnormal,comedy,9.836749442130873e-05,2332,0.0,swow
0,e1_board1_words,giggle-abnormal,embarrass,8.285193287488999e-05,6518,0.0,swow
0,e1_board1_words,giggle-abnormal,emotion,5.119686395198637e-05,11426,0.0,swow
0,e1_board1_words,giggle-abnormal,extravert,NA,NA,0.0,swow
0,e1_board1_words,giggle-abnormal,funny,0.00010296649126760907,1417,0.0,swow
0,e1_board1_words,giggle-abnormal,giddy,9.694366058001834e-05,2699,0.0,swow
0,e1_board1_words,giggle-abnormal,goofy,8.662398454660417e-05,5551,0.0,swow
0,e1_board1_words,giggle-abnormal,happy,8.625460304467339e-05,5656,0.0,swow
0,e1_board1_words,giggle-abnormal,hilarious,0.0001104500883984612,391,0.0,swow
0,e1_board1_words,giggle-abnormal,hysterical,9.294003795770153e-05,3706,0.0,swow
0,e1_board1_words,giggle-abnormal,insane,9.643585285918786e-05,2824,0.0,swow
0,e1_board1_words,giggle-abnormal,laugh,0.00010325884719304435,1362,0.0,swow
0,e1_board1_words,giggle-abnormal,outburst,NA,NA,0.0,swow
0,e1_board1_words,giggle-abnormal,quirky,0.00010374523855529209,1274,0.0,swow
0,e1_board1_words,giggle-abnormal,silly,9.193078192303674e-05,3987,0.0,swow
0,e1_board1_words,giggle-abnormal,snort,6.899814633607838e-05,9282,0.0,swow
0,e1_board1_words,giggle-abnormal,standout,NA,NA,0.0,swow
0,e1_board1_words,giggle-abnormal,weird,0.00010429002622912004,1181,0.0,swow
0,e1_board1_words,void-couch,alone,0.00010754990596465078,703,0.0,swow
0,e1_board1_words,void-couch,comfort,6.224189839112891e-05,10235,0.0,swow
0,e1_board1_words,void-couch,comfortable,7.724140133613639e-05,7721,0.0,swow
0,e1_board1_words,void-couch,crack,8.995445309050416e-05,4633,0.0,swow
0,e1_board1_words,void-couch,depress,NA,NA,0.0,swow
0,e1_board1_words,void-couch,depressed,8.5853884437132e-05,5776,0.0,swow
0,e1_board1_words,void-couch,empty,9.935999829637648e-05,2156,0.0,swow
0,e1_board1_words,void-couch,furniture,9.061936138669242e-05,4462,0.0,swow
0,e1_board1_words,void-couch,lazy,9.970202509261286e-05,2081,0.0,swow
0,e1_board1_words,void-couch,move,7.882743043533258e-05,7410,0.0,swow
0,e1_board1_words,void-couch,pillow,8.36802957123223e-05,6349,0.0,swow
0,e1_board1_words,void-couch,purchase,9.959095643960391e-05,2107,0.0,swow
0,e1_board1_words,void-couch,relax,8.817036671070182e-05,5132,0.0,swow
0,e1_board1_words,void-couch,seat,9.697600604967036e-05,2708,0.0,swow
0,e1_board1_words,void-couch,seatcheck,NA,NA,0.0,swow
0,e1_board1_words,void-couch,sedentary,NA,NA,0.0,swow
0,e1_board1_words,void-couch,sit,8.915989175558956e-05,4849,0.0,swow
0,e1_board1_words,void-couch,sofa,0.00010782619918115359,670,0.0,swow
0,e1_board1_words,void-couch,space,9.212147268318019e-05,4010,0.0,swow
0,e1_board1_words,void-couch,stare,7.746207589190944e-05,7680,0.0,swow
0,e1_board1_words,void-couch,store,8.19074165998814e-05,6750,0.0,swow
0,e1_board1_words,void-couch,weekend,9.4149452549467e-05,3410,0.0,swow
0,e1_board2_words,beginning-brake,abrupt,6.279910913264736e-05,9940,0.0,swow
0,e1_board2_words,beginning-brake,bicycle,7.426329021552635e-05,7986,0.0,swow
0,e1_board2_words,beginning-brake,bike,7.824122172879457e-05,7181,0.0,swow
0,e1_board2_words,beginning-brake,car,4.970676343000354e-05,11434,0.0,swow
0,e1_board2_words,beginning-brake,cautious,7.959713785870633e-05,6893,0.0,swow
0,e1_board2_words,beginning-brake,drive,5.254801202107859e-05,11187,0.0,swow
0,e1_board2_words,beginning-brake,driver,5.455434930943858e-05,10965,0.0,swow
0,e1_board2_words,beginning-brake,end,7.94564512325884e-05,6923,0.0,swow
0,e1_board2_words,beginning-brake,ignition,5.492623390934199e-05,10918,0.0,swow
0,e1_board2_words,beginning-brake,license,5.280569960710806e-05,11162,0.0,swow
0,e1_board2_words,beginning-brake,manual,5.0589153636660014e-05,11366,0.0,swow
